,name,ratings,no_of_ratings,discount_price,actual_price
0,"Supples Baby Pants Diapers, Medium (7-12 kg), 72 Count",4.0,127863.0,639.0,949.0
1,"Pampers Active Baby Taped Diapers, Medium size diapers, (6-11kg) 90 count,taped style custom fit",4.5,65629.0,1529.0,1699.0
2,"Mamaearth Hydragel Indian Sunscreen Spf 50, With Aloe Vera & Raspberry, For Sun Protection - 50G",4.0,4897.0,346.0,399.0
3,Mamaearth Gentle Cleansing Shampoo for Babies (200 ml),4.3,19845.0,152.0,199.0
4,"Himalaya Extra Moisturizing Baby Wash, 400 ml",4.3,6456.0,198.0,275.0
5,"MamyPoko Pants Extra Absorb NB76,Unisex Baby, Pack of 76 (Upto 5 Kg)",4.3,155343.0,649.0,999.0
6,"LuvLap Tiny Love Heat Sensitive Baby Feeding Spoons Set, Food Grade PP Kids & Baby Spoon with Soft Silicone Tip, Color cha...",4.4,5814.0,131.0,159.0
7,"Supples Baby Wet Wipes with Aloe Vera and Vitamin E, 72 Wipes/Pack, (Pack of 6)",4.4,59138.0,370.0,744.0
8,Philips Avent NATURAL 2.0 BOTTLE 260ml Single SCF033/10,4.5,6507.0,499.0,515.0
9,Mamaearth Tea Tree Natural Face Wash for Acne & Pimples Wash 100 ml - For Normal & Dry Skin,4.0,16718.0,240.0,259.0
10,"Pampers Premium Care Pants, Large size baby Diapers, (L) 88 Count,9-14 Kg, Softest ever Pampers Pants",4.5,4985.0,1702.0,2398.0
11,"MamyPoko Pants Extra Absorb NB114,Unisex Baby, Pack of 114",4.3,2054.0,929.0,1499.0
12,Mamaearth Daily Moisturizing Natural Baby Lotion (400 ml),4.3,12057.0,289.0,399.0
13,"Pampers Premium Care Pants, Medium size baby Diapers, (7-12kg) 108 Count Softest ever Pampers Pants, Medium Size, Pack of 108",4.5,5366.0,1715.0,2398.0
14,"Huggies Complete Comfort Wonder Pants, Medium (7-12kg) Size Count 100 Baby Diaper Pants Combo Pack of 2, 50 count Per Pac...",4.2,215914.0,1022.0,1398.0
15,"Pampers All round Protection Pants, Medium size baby Diapers, (7-12kg) 200 Count Lotion with Aloe Vera",4.3,3948.0,2186.0,3149.0
16,Pampers Baby Gentle Wet Wipes with Aloe Vera 144 Wipes,4.3,5035.0,229.0,498.0
17,Mamaearth Vitamin C Oil-Free Moisturizer For Face With Vitamin C & Gotu Kola For Skin Illumination - 80 Ml,4.1,3395.0,280.0,319.0
18,"Huggies Complete Comfort Wonder Pants Extra Large (XL) Size Baby Diaper Pants Sumo Pack, 168 count, with 5 in 1 Comfort",4.2,215914.0,2495.0,3899.0
19,"Nestle LACTOGEN 1 Infant Formula Powder - Upto 6 months, Stage 1, 400g Bag-in-Box Pack",4.4,6458.0,395.0,415.0
20,Mamaearth Onion Hair Oil For Hair Growth With Onion & Redensyl For Hair Fall Control - 250Ml,4.1,13553.0,508.0,599.0
21,"Pampers Premium Care Pants,New Born Extra Small size baby Diapers,(NB/XS)70 count,Upto 5 kg Softest ever Pampers",4.4,11056.0,767.0,1149.0
22,"MamyPoko Pants Extra Absorb XL42,Unisex Baby, Pack of 42 (12-17Kg)",4.3,155343.0,699.0,999.0
23,"Huggies Complete Comfort Wonder Pants,Large (L) Size Baby Diaper Pants,(64 count) (9-14Kg) with 5 in 1 Comfort",4.2,215914.0,881.0,1399.0
24,"Mamaearth Natural Repellent Mosquito Patches For Babies with 12 Hour Protection,White,Pack of 1",3.9,3169.0,152.0,199.0
25,"Kotex Overnight Period Panties (Medium/Large size, pack of 10 panties) for heavy flow period protection | with 360 degree ...",4.4,5121.0,369.0,450.0
26,"Mamaearth Mineral Based Sunscreen Baby Lotion SPF 20+,Hypoallergenic,100ml,(0-10 Years)",4.1,6953.0,214.0,299.0
27,Himalaya Gentle Baby Wash (400ml),4.3,17468.0,211.0,265.0
28,"Cable World® Musical Keyboard Mat Piano Gym Mat Gym & Fitness Rack,Pack of 1 set, Muticolor",3.8,10574.0,1099.0,2599.0
29,Himalaya Baby Lotion 700ml,4.4,7182.0,386.0,480.0
30,Mother Sparsh 99% Pure Water (Unscented) baby wipes I Natural Plant made cloth - Super thick I 72 pcs/pack - Pack of 2 (Su...,4.5,4056.0,399.0,568.0
31,"Luv Lap Liquid Cleanser Refill, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories And Vegetables, 1000ml (Clear)",4.4,6544.0,359.0,479.0
32,Mother Sparsh 99% Pure Water (Unscented) Baby Wipes I Natural Plant Made Cloth - Super Thick I 72 pcs/Pack - Pack of 3,4.5,6627.0,598.0,897.0
33,Bio-Oil Original Face & Body Oil Suitable for Scar Removal | Uneven Skin Tone| Stretch Marks & Ageing Signs for Glowing Sk...,4.1,35284.0,553.0,790.0
34,"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink )",4.1,5325.0,175.0,699.0
35,"Mamaearth Daily Moisturizing Lotion, 200ml",4.2,11080.0,152.0,199.0
36,"Pampers Premium Care Pants, Extra Large size baby Diapers, (XL) 36 Count, 12-17 kg Softest ever Pampers Pants,",4.5,2749.0,837.0,1199.0
37,"Amul School Pack Butter Pasteurised, 100 g",4.6,4402.0,63.0,65.0
38,Classic Mosquito Net for Double Bed | Queen Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion R...,4.2,61552.0,949.0,2000.0
