name,ratings,no_of_ratings,discount_price,actual_price
RAG28 Wooden Wall Decor Set of 11 (SPW1) Multicolour,3.9,2657,284.05,799
"ArtX Paper Motivational Wall Frames, Inspirational Quotes Wall Frames For Home Office Study Room Decor, Multicolor Posters...",4.4,572,593,1399
Mahogany Life Vintage Glass Hanging Photo Frame For Wall Decor (5x7 inch) | Transparent Glass and Brass Metal Hanging Pres...,4.2,210,469,901
"Indianara Religious Painting -Synthetic Wood, 27x30.5x1cm, Multicolour (GB5)",4.5,589,182,499
Lexton 20 Piece Photo Clips String Light Battery Powered (Battery Not Included) for Home Decoration (Warm White),4,1539,244.99,499
Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,3.9,70,84,799
"Kridaykraft Metal Kuber Deepam Oil lamp for or Bringing Good Luck, Prosperity and Wealth,",4.5,13,359,800
"Bubble Candle - Cube Soy Wax Candles, Home Decor Candle, Scented Candle Set 2 Pieces, Home Use and Gifting",3.7,83,197,899
Soul & Scents 120 ml Lavender Reed Diffuser Set | Free 6 Fiber Reed Sticks |Toxin Free & Stress Relief | Fine-Living Natur...,3.9,1027,662,699
"Ajanta Orpat Time Piece Beep Alarm Clock (Small_140X114X74 Mm, White,Plastic)",3.9,463,499,599
"Homenique Artificial Leaf Money Plant Greenery Fake Hanging Vine Plants Leaf Garland Hanging for Wedding Home Decoration, ...",4.3,71,170,1350
"SAF Set of 3 Buddha UV Textured Home Decorative Gift Item Painting , 18 Inch X 12 Inch - SANFJM31046, Figures, Religious",4,762,159,899
"Mangaldeep Puja Agarbatti, Sandal, 60 Sticks (Pack of 2)",4.2,390,46,70
Krisah® 1 pcs Lab Tested ISI Seal Original Sandalwood Scented Processed Mysore Chandan Sticks 30-40 Gram for Puja,4.1,733,639,1345
"HIVAGI® Aromatherapy Essential Oil Diffuser with Flame Light, 180mL Quiet Mist Humidifiers for Essential Oils Home Aroma A...",3.7,157,1699,4000
"Amazon Brand - Solimo Collage Set of 11 Black Photo Frames ( 4 x 6 Inch - 2 & 5 X 5 Inch - 6, 5 X 7 inch - 2 & 8 X 10 inch...",4.2,1008,599,770
"Basement Bazaar Mahi Glass Hookah (24.8 cm, Black)",3.3,1750,429,749
"Reflekt Premium Hand Soap Sheets (Lavender) - Pack Of 80 Sheets In Storage Tin Box | Moisturising Formula, Effective On Ge...",4.2,249,349,599
"PRINTNET Pack of 28 BTS Polaroid photocards Collection for BTS Fans, Multicolour",4.4,540,199,429
SPHINX Artificial Marigold Fluffy Flowers Garlands Double line Door Toran Set/Door Hangings for Home Office Decoration (Ap...,4.3,2973,455,899
Aditya Shopping Electric Ceramic Kapoor Dani/Aroma Oil Burner Cum Night Lamp with Switch Design (Style 03),3,32,285,699
World Fire Home Deco Purifying Brass Dhuna Loban Burner(Round),4.1,344,500,1400
"natureCRAFTS Wooden Coasters for Drinks Set of 6 with Iron Holder, Wooden and Iron Tea Coaster to Prevent Furniture from B...",4,20,179,399
Gopz Flexible Mirror Sheets Self-Adhesive Plastic Mirror Tiles Non-Glass Mirror Stickers for Home Decoration [Size:- 30cm*...,4.7,5,179,499
"Itiha Gudi showpiece with Artificial Upturned Copper Vessel,Orange Saree, Leaf with Supari and Kalash on Wooden Base Gudi ...",4.1,33,439,499
"Adiyogi Shiva Statue for Car Dash Board, Pooja & Gift, Mahadev Murti, Idol, Lord Adiyogi Shankara for home decor",4.8,7,195,999
DeLush Designs Delush2.4 inch Artificial Plumier Rubric Hawaiian Flower Petals Hair Hat Wreath Floral Hawaiian Foam Frangi...,3.4,15,199,500
"Decals Design 'Romantic Rose Flowers' Wall Sticker (PVC Vinyl, 50 cm x 70 cm, Multicolour)",4.2,5784,129,664
Airkwick Freshmatic Room Freshner Refill 250 ml (Jasmine Blossom),3.5,16,224,299
"Pindia PVC DIY 3D Butterfly Home Wall Decor Magnet Sticker for Living and Study Room, Fridge, AC, Nursery Decoration(Pink)...",3.7,815,129,258
"Ajanta Quartz Plastic Digital Alarm and Table clock, (8 x 7 x 3.5 cm, White, ODC 190)",3.8,1893,880,940
Webelkart Diya Shape Flower Decorative Urli Bowl for Home Handcrafted Bowl for Floating Flowers and Tea Light Candles Hom...,4.4,716,749,2995
"Wallstick Motivational Buddha Quotes Vinyl Wall Stickers (115 cm x 60 cm, Multicolour, 57-3161)",4.4,599,199,999
iCreations Acrylic Ganesha Customised Home Name Plate (Mirror Gold and Black),4.4,675,521,799
"AMB Fog Colours Eco-Friendly Fog Color Holi, Stage Performance, Party Decoration, Safe Hand Made in India, 5 Pieces in a Box",2.8,9,298,499
"OXSAM Digital Smart Back Light Table Mirror Alarm Clock for Office, Home, and Bedroom with Sensor Date and Temperature (Wh...",4.8,21,499,999
Treasure House Mozo - Ultimate Brown Rolling Paper with Filter Tips (Pack of 5) by Treasure House.,4.3,108,299,450
"Parag Fragrances Herbal & Natural 5 in 1 Dhoop Sticks 250Gm Pack / Rose, Sandalwood, Mogra, Camphor & Kasturi / 50Gram Eac...",3.7,370,367,850
"Seva Decorative sea shells, craft and decorative mix seashells 400gm pack",4.6,3,165,399
Rajotia craft's Handmade Wooden Gangaur Ishar Figurines Size 16 inch,4,25,1899,2999
"Wolpin Wall Stickers Wallpaper Decal (45cm x 10 m) DIY PVC Self-Adhesive Bubbles, Kids Room, Lamination Paper, Office, Hom...",3.9,7549,499,1499
Healthbuddy Stoptar Smoking Filter 10 Packs Of 10 Pcs Each,4.2,469,794,900
"Heart Home Artificial Vine Plant with Plastic Pot (Green, 1 Piece)",4.2,347,262.35,319
Chaka Chaundh - Suitable Abdul kalam photo frames for wall - motivational quotes frames - poster with frame - Abdul kalam ...,4.3,273,369,899
RDK Original Sandalwood Sticks Scented Processed Mysore Natural Chandan Wood Lakdi for Pooja Tilak Havan & Beauty (35-45 G...,3.8,781,259,439
"HEM Precious Chandan Black Incense Sticks (120 Sticks) | Agarbatti for Pooja, Air Purifier & Meditation | Puja Room Items ...",4,12176,237,249
"SATYAM KRAFT Acrylic Dancing Flame Led Tea Light Candle For Home Decoration, Gifting, House, Light For Balcony, Room, Birt...",3.9,632,349,1200
"Pink Pari 2 m Aluminium Foil Stickers, Oil Proof , Kitchen Backsplash Wallpaper Self-Adhesive Wall Sticker Anti-Mold and H...",3.9,3589,299,599
"Rey Naturals Lavender Essential Oil for Hair,Skin|100% Pure Lavender Oil with Natural Lavandula Angustifolia Extract |Calm...",4,2134,225,300
"Ryme Artificial Wild Grass Plant With Pot For Home And Office Decoration (Set Of 4, 4)( Set Of 4), Green",4,116,249,599
"SADHUSADHYA 21 Shape of Mirror Craft (TOTAL-2100 Pices,100 Piece of Each Shape)",5,2,379,899
TIMESETL Wood Coper Wind Chime for Home Bedroom Balcony Garden Etc. for (Decorate Item),4.1,855,469,1599
"Blooming Floret Artificial Monstera Plant with Black Pot for Home, Office Decor | 18 Medium Size Leaves Plant with Pot",3.4,34,1500,4000
"Asian Paints Wall-Ons Scootaway Wall Sticker (PVC Vinyl, 0.01 cm x 76.2 cm x 30.48 cm) (AS05M)",3.9,92,229,365
SAF 7 Horses River Large Framed UV Coated Digital Reprint 14 Inch X 20 Inch Painting (SANFH11) SANFH11(multicolor1),3.9,283,249,1999
"Ajanta Quartz Plastic Abstract Rectangle Digital Alarm Wall Clock (Black and Brown, 29 cm x 19 cm x 2.5 cm, ODC 130)",3.7,1261,999,1025
"Generic PnF Durga Maa Religious Wood Photo Frames with Acrylic Sheet (Glass) for Worship/Pooja(photoframe,Multicolour,8x6i...",4.2,32,189,499
Pauwer 12 Pack (43.2 FT) Artificial Wisteria Vine Ratta Fake Wisteria Hanging Garland Silk Long Hanging Bush Flowers Strin...,4,3111,523,999
"HOLD UP Led Vanity Lights for Mirror, Hollywood Style LED Vanity Mirror Lights Kit 10 Dimmable Light Bulbs 3 Color Modes, ...",4.2,40,749,2499
Urban Hamlet Iron Decorative Mirror Wall Mounted Hanging Mirror Sculpture Metal Golden Rose Design Modern Art Mirror for H...,4.2,116,2089,4999
Shubhkart Nirmal 5 in 1 Agarbatti Zipper Pack 150grams - 9 Inch Long Sticks (Pack of 2)– 22.86cm Long Sticks (Combo of 2)|...,5,3,125,140
"Painting Mantra Art Street Boulevard Photo Frame Set of 11 Picture Frames for Wall Hanging (8x10-3 pcs, 6x8-8 pcs)-Black a...",4.2,3275,1116,1399
