name,ratings,no_of_ratings,discount_price,actual_price
"Supples Baby Pants Diapers, Medium (7-12 kg), 72 Count",4,"1,27,863",639,949
"Pampers Active Baby Taped Diapers, Medium size diapers, (6-11kg) 90 count,taped style custom fit",4.5,"65,629","1,529","1,699"
"Mamaearth Hydragel Indian Sunscreen Spf 50, With Aloe Vera & Raspberry, For Sun Protection - 50G",4,"4,897",346,399
Mamaearth Gentle Cleansing Shampoo for Babies (200 ml),4.3,"19,845",152,199
"Himalaya Extra Moisturizing Baby Wash, 400 ml",4.3,"6,456",198,275
"MamyPoko Pants Extra Absorb NB76,Unisex Baby, Pack of 76 (Upto 5 Kg)",4.3,"1,55,343",649,999
"LuvLap Tiny Love Heat Sensitive Baby Feeding Spoons Set, Food Grade PP Kids & Baby Spoon with Soft Silicone Tip, Color cha...",4.4,"5,814",131,159
"Supples Baby Wet Wipes with Aloe Vera and Vitamin E, 72 Wipes/Pack, (Pack of 6)",4.4,"59,138",370,744
Philips Avent NATURAL 2.0 BOTTLE 260ml Single SCF033/10,4.5,"6,507",499,515
Mamaearth Tea Tree Natural Face Wash for Acne & Pimples Wash 100 ml - For Normal & Dry Skin,4,"16,718",240,259
"Pampers Premium Care Pants, Large size baby Diapers, (L) 88 Count,9-14 Kg, Softest ever Pampers Pants",4.5,"4,985","1,702","2,398"
"MamyPoko Pants Extra Absorb NB114,Unisex Baby, Pack of 114",4.3,"2,054",929,"1,499"
Mamaearth Daily Moisturizing Natural Baby Lotion (400 ml),4.3,"12,057",289,399
"Pampers Premium Care Pants, Medium size baby Diapers, (7-12kg) 108 Count Softest ever Pampers Pants, Medium Size, Pack of 108",4.5,"5,366","1,715","2,398"
"Huggies Complete Comfort Wonder Pants, Medium (7-12kg) Size Count 100 Baby Diaper Pants Combo Pack of 2, 50 count Per Pac...",4.2,"2,15,914","1,022","1,398"
"Pampers All round Protection Pants, Medium size baby Diapers, (7-12kg) 200 Count Lotion with Aloe Vera",4.3,"3,948","2,186","3,149"
Pampers Baby Gentle Wet Wipes with Aloe Vera 144 Wipes,4.3,"5,035",229,498
Mamaearth Vitamin C Oil-Free Moisturizer For Face With Vitamin C & Gotu Kola For Skin Illumination - 80 Ml,4.1,"3,395",280,319
"Huggies Complete Comfort Wonder Pants Extra Large (XL) Size Baby Diaper Pants Sumo Pack, 168 count, with 5 in 1 Comfort",4.2,"2,15,914","2,495","3,899"
"Nestle LACTOGEN 1 Infant Formula Powder - Upto 6 months, Stage 1, 400g Bag-in-Box Pack",4.4,"6,458",395,415
Mamaearth Onion Hair Oil For Hair Growth With Onion & Redensyl For Hair Fall Control - 250Ml,4.1,"13,553",508,599
"Pampers Premium Care Pants,New Born Extra Small size baby Diapers,(NB/XS)70 count,Upto 5 kg Softest ever Pampers",4.4,"11,056",767,"1,149"
"MamyPoko Pants Extra Absorb XL42,Unisex Baby, Pack of 42 (12-17Kg)",4.3,"1,55,343",699,999
"Huggies Complete Comfort Wonder Pants,Large (L) Size Baby Diaper Pants,(64 count) (9-14Kg) with 5 in 1 Comfort",4.2,"2,15,914",881,"1,399"
"Mamaearth Natural Repellent Mosquito Patches For Babies with 12 Hour Protection,White,Pack of 1",3.9,"3,169",152,199
"Kotex Overnight Period Panties (Medium/Large size, pack of 10 panties) for heavy flow period protection | with 360 degree ...",4.4,"5,121",369,450
"Mamaearth Mineral Based Sunscreen Baby Lotion SPF 20+,Hypoallergenic,100ml,(0-10 Years)",4.1,"6,953",214,299
Himalaya Gentle Baby Wash (400ml),4.3,"17,468",211,265
"Cable World® Musical Keyboard Mat Piano Gym Mat Gym & Fitness Rack,Pack of 1 set, Muticolor",3.8,"10,574","1,099","2,599"
Himalaya Baby Lotion 700ml,4.4,"7,182",386,480
Mother Sparsh 99% Pure Water (Unscented) baby wipes I Natural Plant made cloth - Super thick I 72 pcs/pack - Pack of 2 (Su...,4.5,"4,056",399,568
"Luv Lap Liquid Cleanser Refill, Anti-Bacterial, Food Grade, For Baby Bottles, Accessories And Vegetables, 1000ml (Clear)",4.4,"6,544",359,479
Mother Sparsh 99% Pure Water (Unscented) Baby Wipes I Natural Plant Made Cloth - Super Thick I 72 pcs/Pack - Pack of 3,4.5,"6,627",598,897
Bio-Oil Original Face & Body Oil Suitable for Scar Removal | Uneven Skin Tone| Stretch Marks & Ageing Signs for Glowing Sk...,4.1,"35,284",553,790
"Babique Unicorn Teddy Bear Plush Soft Toy Cute Kids Birthday Animal Baby Boys/Girls (25 cm, Pink )",4.1,"5,325",175,699
"Mamaearth Daily Moisturizing Lotion, 200ml",4.2,"11,080",152,199
"Pampers Premium Care Pants, Extra Large size baby Diapers, (XL) 36 Count, 12-17 kg Softest ever Pampers Pants,",4.5,"2,749",837,"1,199"
"Amul School Pack Butter Pasteurised, 100 g",4.6,"4,402",63,65
Classic Mosquito Net for Double Bed | Queen Size Foldable Machardani | Polyester 30GSM Strong Net | PVC Coated Corrosion R...,4.2,"61,552",949,"2,000"
"Huggies Complete Comfort Dry Pants Medium (M) Size Baby Diaper Pants, 26 count,7-12 kg with 5 in 1 Comfort",4,"30,295",243,320
"Colgate Toothpaste for Kids (3-5 years), Natural Strawberry Flavour - 80 gr Tube,Cavity Protection,0% artificial preservat...",4.2,"2,809",132,200
"Mamaearth Gentle Cleansing Natural Baby Shampoo, 400ml (White)",4.3,"19,845",289,399
Himalaya Extra Moisturizing Baby Soap (75g),4.3,"12,197",153,165
"LuvLap Tiny Giffy Sipper for Infant/Toddler 300ml, Anti-Spill Sippy Cup with Soft Silicone Straw BPA Free, 18m+ (Green)",4.1,"8,188",199,259
Supples Baby Wet Wipes with Aloe Vera and Vitamin E - 72 Wipes/Pack (Pack of 9),4.4,"59,138",539,"1,161"
Amazon Brand - Solimo Cotton Buds - 200 Sticks (Pack of 2),4.3,"6,773",139,240
AMAZARA Baby Proofing Corner Guards I Pre-Taped Corner Protectors I Child Safety Edge Guards I 10 Pieces Brown,4.2,"11,784",316,599
"Little's Comfy Baby Pants - Premium, 12 Hours Absorption, Wetness Indicator, Cotton Soft, Large,White, 62 Count",3.9,"1,730",625,999
Mee Mee Anti-Bacterial Baby Laundry Detergent(1.5 Litre liquid),4.4,"4,555",600,799
"Little's Soft Cleansing Baby Wipes with Aloe Vera, Jojoba Oil and Vitamin E (80 wipes) pack of 2",4.4,"1,02,725",145,380
Mamaearth Deeply nourishing wash for babies (200 ml),4.3,"11,401",152,199
"LuvLap Mobby Little Spout Sipper, BPA Free, 240 ml, 6m+ (Blue)",4,"5,639",199,259
"LuvLap Elegant Baby Hair Brush and Comb Set, 0m+ (White)",4.2,"7,404",169.54,219
Sebamed Baby Cream Extra Soft 50m|Ph 5.5| Panthenol and Jojoba Oil|Clinically tested| ECARF Approved,4.5,"6,629",591,700
KidDough Furniture Safety Locks for Kids (10 White Locks),4.1,"4,853",399,550
Toyshine Kids Wooden Angle Geometric Blocks Stacker Shape Sorter Column Puzzle Stacking Set - B (21 pieces),4.6,"5,238",426,999
"Mamaearth Tea Tree Anti Dandruff Shampoo, With Tea Tree & Ginger Oil, 250ml",3.9,"7,376",324,349
